tipo,texto
daily,"Temperatura promedio en Buenos Aires: 16 C (min 11.0, max 20.0)."
daily,Demanda total del sistema: 131.7 MMm3/dia (baja de 4.1 MMm3/d vs dia anterior).
weekly,Pronostico de temperatura para los proximos 7 dias: rango 9-15 C (promedio 12.2 C).
weekly,Demanda total estimada para la semana: 128-152 MMm3/dia.
weekly,Demanda prioritaria estimada: 48-78 MMm3/dia.
