report_date,week_num,start_date,end_date,demanda_gwh,demanda_mwmed,exportacion_gwh,exportacion_mwmed,termico_gwh,termico_mwmed,hidraulico_gwh,hidraulico_mwmed,nuclear_gwh,nuclear_mwmed,renovable_gwh,renovable_mwmed,importacion_gwh,importacion_mwmed,gas_mm3_dia,fo_miles_ton,go_miles_m3,carbon_miles_ton
2026-08-14,33,2026-08-10,2026-08-16,3240.0,19288.0,2.0,13.0,1508.0,8976.0,890.0,5297.0,237.0,1410.0,373.0,2222.0,235.0,1399.0,36.0,14.0,30.0,22.0
2026-08-14,34,2026-08-17,2026-08-23,3108.0,18497.0,0.0,0.0,1317.0,7837.0,827.0,4923.0,236.0,1407.0,479.0,2853.0,248.0,1476.0,30.0,12.0,39.0,23.0
