tipo,texto
daily,"Temperatura promedio en Buenos Aires: 15 C (min 12.0, max 18.0)."
daily,Demanda total del sistema: 111.0 MMm3/dia (suba de 14.9 MMm3/d vs dia anterior).
weekly,Pronostico de temperatura para los proximos 7 dias: rango 9-20 C (promedio 14.7 C).
weekly,Demanda total estimada para la semana: 93-140 MMm3/dia.
weekly,Demanda prioritaria estimada: 17-64 MMm3/dia.
